consumer_iso3c,scenario,change_in_stock,live_weight_t,pct_change
SAU,ssp126,58031.39418888218,57717.077195290316,0.5445823123169363
SAU,ssp585,58446.69723896876,57717.077195290316,1.2641320024049634
SDN,ssp126,1070.830878680326,1071.383881030285,-0.05161570560752943
SDN,ssp585,1049.667127462779,1071.383881030285,-2.0269815471390413
SEN,ssp126,422031.2736467943,435016.6842421788,-2.985037371154104
SEN,ssp585,411434.4653411647,435016.6842421788,-5.420991827496353
SGP,ssp126,43761.44907062272,44899.826389605376,-2.5353713154806226
SGP,ssp585,44069.47606144988,44899.826389605376,-1.8493397300701522
SLB,ssp126,3455.7311270630335,3187.3057300290748,8.421702207761227
SLB,ssp585,3435.6928814392754,3187.3057300290748,7.7930130476669035
SLE,ssp126,3095.763900773861,3291.8195095756278,-5.95584321167844
SLE,ssp585,2970.1531057018587,3291.8195095756278,-9.771690183440143
SLV,ssp126,1522.874368811783,1533.5441384832202,-0.6957588897304521
SLV,ssp585,1520.7272541142197,1533.5441384832202,-0.8357688603392442
SOM,ssp126,31806.276450354504,34467.68945783541,-7.72147204916835
SOM,ssp585,31788.023540156864,34467.68945783541,-7.7744286310708555
SRB,ssp126,7898.713615092406,7943.831243968203,-0.567958048077306
SRB,ssp585,7940.234968961069,7943.831243968203,-0.045271291605856134
SSD,ssp126,61.88740899287968,59.45081329314896,4.098506924902753
SSD,ssp585,61.10268569014863,59.45081329314896,2.778553068491043
STP,ssp126,3413.3962837238914,3636.0810246730052,-6.124306346257505
STP,ssp585,3368.5963764092317,3636.0810246730052,-7.3563995534953355
SUR,ssp126,2027.0824071956292,1758.0787888803832,15.30099902328943
SUR,ssp585,2023.5656240669118,1758.0787888803832,15.100963441780763
SVK,ssp126,5746.3512043181945,5623.784760536594,2.1794298501905263
SVK,ssp585,5738.445340278657,5623.784760536594,2.038850785091607
SVN,ssp126,4625.084278842775,4644.828707916529,-0.42508411645195987
SVN,ssp585,4655.648865338905,4644.828707916529,0.23295062321532353
SWE,ssp126,22216.58879891366,20084.62541372592,10.614902400573264
SWE,ssp585,22459.868139062688,20084.62541372592,11.826173883798283
SWZ,ssp126,785.0341300814289,733.0732096780765,7.08809430181886
SWZ,ssp585,774.373081434399,733.0732096780765,5.633799081876004
SYC,ssp126,1442.3624844708424,1439.761020973611,0.18068717372777718
SYC,ssp585,1439.908140007061,1439.761020973611,0.010218295349499525
SYR,ssp126,10932.056930778825,11461.076992472403,-4.615797119599115
SYR,ssp585,10584.036204958544,11461.076992472403,-7.652341818224381
